Id,EssaySet,Score1,Score2,EssayText
9364,4,0,0,signific word invars article explain Aneth name foreign anim python arn exact conoid common pet like dog cat
17083,7,0,0,rose lot plate work go school plus watch sister anna plus rose seem dreamer lot bad dream every hard anna
17547,7,0,0,rose clear open feel aunt trustworthy bad dream goe straight let chest good relationship aunt case could express feel help
6110,3,1,1,china panda australia koala bear similar specialist differ python generalist
17779,7,2,2,rose could conoid protect toward family little sister anna say lonesome papa seem like gone year rose attempt consul sister say four month go job los angel paid three time make also rose work extreme hard school work help support family sure sign desire protect help family
18267,7,1,2,rose hard worker tri part help family example rose state anna part help paul finish college
9758,4,1,1,word invars show snake tri come somewhere want article talk snake upset balance chang drastic
9179,4,0,0,think word invars mean anim dangerous see take Ossis action
5052,3,2,1,koala panda alike specialist rely one food example panda eat bamboo koala eat eucalyptus leave specie differ cobra specialist cobra generalist survive multiple type food
6754,3,1,1,story explain panda china eat bamboo australia koala Ecclus eat eucalyptus leave anim howel eat whaten want
9416,4,1,1,signific word invars unfair invars pass judgement invars specie uncheck nature predate major threat biodivers
18450,7,0,0,rose convert aunt Polab rose show take responsible young women complain rose took trait honest abl confess aunt wasnt ready take responsible rose show didnt want let aunt family
17239,7,2,2,believe rose care convert aunt Polab dream rose want explain aunt way felt felt would hurt aunt tell way felt think someone put someone els feel thought care person
5055,3,2,1,panda china koala australia differ python python generalist where koala panda specialist mean python thrive multiple habitat differ panda koala need specif bamboo panda survive
17212,7,0,0,one detail identify story family like came differ country aunt face lit may sew laid could make special treat country sell
17883,7,0,0,rose bit selfish dreamer talk aunt Polab final starts comprehend latheron life might get EASI along look topic book would show person life style
23141,9,1,0,author organ article talk space exploration effect talk space trash effect space world author use caus effect
6149,3,1,1,panda china eat bamboo koala australia eat eucalyptus leave also specialist python generalist pretty much eat Anyah
18210,7,1,1,anna feel like need part help family feel like take away life time want write essay
24067,9,2,2,organ article till thing section like space junk talk need section crash cours Aneth way author broke article
24364,9,2,1,author start little background story great space race effect come earth atmosphere crash cours author give story happen february two dead satellite intro paragraph next paragraph little bit big deal explain affect sac juck Tini fragment hit spacecraft satellite could caus serious damage like affect space Oberg future
6635,3,0,1,panda china koala australia eat leave bamboo nonstop differ python snake eat meat walk jungle ad python move bamboo rod eat leave ad python eat meat
23475,9,2,2,author till article till help reader first paragraph explain reader space junk second paragraph tell space junk explain previous paragraph affect sattelit third explain even littlest bit space junk harm satellite space object author would explain space junk reader might lost second third paragraph goe explain clot dear got reader might lost third paragraph way till explain space junk exla got clutter affect way arthur organs article
6749,3,1,1,panda china similar koala australia really live eat one thing panda live eat not bamboo koala eat eucalyptus leave almost Ecclus panda koala differ climate live panda china koala australia
18184,7,0,0,want tell sister really feel may want sister worry tell sister fine not wrong sister now better talk aunt say not aunt tri talk not except end convert least node aunt feel overwhelm
20637,8,0,0,fact mr leonard drop college lost scholarship read really effect paul cannot read well
6515,3,1,1,china panda australia koala similar eat main one thing alway panda bamboo koala eucalyptus leave anim differ python specialist harm human like python generalist
24264,9,1,1,author organ article put inform differ section put head interest till reader interset read article beg stroy use retro question grab attent
8661,4,0,0,invars nicer word use place invade article people south frighten anim fear come anger want article one man said ever term invars specie unfair said introduce see people south take welcome nidi
6455,3,1,0,china panda koala australia eat plant python eat meat Allix mice
21532,8,2,2,when paul look achieve mr leonard made must humble present star athlete paragraph paul seem exit impress leonard success
17767,7,0,0,rose see oni one matter see Aneth person point view rose see family way import Anyah one thing get angry fast sit think thing
24238,9,0,0,organ artic happened time time
9557,4,1,2,word invars import article issue debat macing side differ reptile invars specie nonnat learn adapt hand scientist claim anim invars come accord would taken much longer
24688,9,1,2,begin humor statement meant entertain reader lead not next paragraph tell reader passage go next head define subject get next two paragraph give specif example count subject explain care subject
9063,4,1,1,word invars article give reader impress invars specie bad environ mac inn said article think invars pass judgement word give impress even read article way author want
20431,8,2,2,paul understood mr leonard felt like say knew feel well goe describe emabrass read coach want paul excel cometh since could read end paul decide teach mr leonard read
23810,9,2,1,introduct author start describe space junk talk first satellite launch suppos hundi little junk satellite scatter around orbit crash cours explain story crash space left debris space acid happen time space last part talk debris danger despite size
5046,3,1,1,panda china similar koala australia china panda eat not bamboo australia koala bear eat eucalyptus leave differ python article state python swallow Allix
20723,8,2,2,story barrat paul find background inform mr leonard inform impact paul great story attitude way see thing chang complete paul said knew well feel embarrass call upon read aloud know answer Everson els knew paul understand mr leonard felt know like best student world get help people paul feel mr leonard sympathy paul attitude chang drama say time start train paul realize mr leonard read want help repay help find secret talant
21700,8,2,2,paul find mr leonard cannot read either paul feel bad abl read also find mr leonard college track star motive better
18312,7,1,1,one trait describe rose would really care family talk sister anna see anna frustrate need talk someone even though rose time sit talk sister
24125,9,1,1,author organ article interest format example introduce us dialog two people chang tone serious matter explain go talk also divid paragraph topic know next paragraph show organ want keep us organ well read
23269,9,0,0,organ thing import space junk explore space junk
9484,4,1,2,root word invars come word invade general mean take cometh throughout article invars use describe reptile neat light example biologist claim invars specie major threat biodivers invade anim habitat pose threat p word invars main describe python threat caus take area
5948,3,2,2,panda china koala australia similar b c depend environ survive panda consume bamboo grow nature china koala eat eucalyptus leave grow nature australia differ python b c python eat Anyah rely one food source common live go anywhere eat Anyah
24362,9,2,2,author organ article spear inform differ section focus one aspect main subject individu section lead next first section example main idea introduce creative open grab reader attent provoke interest topic next section offer elabor explain topic article short history problem space junk began author goe explain happen debris collis occur last section explain collis problem despite small size debris way inform section build upon present precede section specif topic inform article arrange logic order proved best understand fact
9654,4,1,1,th th paragraph word invars like mean brought introduce throughout whole article talk python foreign country native specie reptile get adapt take unit state
17935,7,0,0,rose
18681,7,0,0,rose
5433,3,0,0,state article specialist china panda eat almost not bamboo australia koala bear eat eucalyptus leave almost Ecclus python hand generalist eat Anyah live almost anywhere koala panda
18129,7,1,1,rose talk anna show support parent decks example would support father decks work los angel
21055,8,1,0,inform probabl big effect paul paul read either paul may feel look mr leonard remodel
6735,3,0,0,panda koala similar eat inhibit plant text say china panda eat almost not bamboo australia koala bear eat eucalyptus leave almost Ecclus path panda koala differ python also eat habitat
17282,7,2,2,anna rose said wrong feel okay one trait rose care
17209,7,2,2,one trait rose shown hope even though thing hard right give thing paragraph text state aunt offer somehow made feel lighter listen aunt say step back see whole situate rose gain hope stress long
23985,9,0,1,author organ article order tell talk problem caus caus effect type order example first tell space junk go tell danger junk float around outer space run risk cold eachoth
6674,3,2,1,panda china koala australia similar specialist abl live place els world type food eat bamboo eucalyptus leave anim differ python python generalist live mani place
24639,9,1,1,author organ article import text one first paragraph space junk pretty serious matter text still import way article set like paragraph organ base import inform
17701,7,1,1,rose demonstr hope attitude convert anna aunt Polab anna complain never seen parent rose respond explain job family current situate events work better
24329,9,1,1,start tell reader space junk tell reader effect spaceship tell reader even little thing big impact
20087,8,0,1,paul alway last one pick gym background check mr leonard found track sta inspire get fit enjoy gym even strive first pick gym also wonder mr leonard didnt tell past tack star state soon confront mr leonard inspire live past track star
6576,3,2,2,panda koala herbivora eat plant survive python kill mani differ specie caus problem unlike panda koala
17861,7,1,1,rose repress strong will person despite situate geography distant father work mother abl live busy life work go school maintain mental health interact family help well though may feel overwhelm rose speak aunt Polab quick regain posit move bail continue pressure busy life associe strong will person possess rose
20650,8,0,0,learn paul good kid pick thing quick help learn one thing learn read better
23689,9,1,1,author organ article give reader background inform crash past give us inform debris crash satellite
8884,4,2,1,invars mean kind anim native place start inhabit usual caus damage native specie artic talk swamp rat found florida track found stomach snake snake native florida
18721,7,0,0,rose sens humor say already every express humor although feel like happy behind real
8821,4,1,1,article author use word invars describe specie one word signific rest article describe govern feel type reptile article show govern overestim threat reptile also use word bother macing think pass judgement
8252,4,0,0,word invars mean cometh danger nature article said invars pass judgement show people shouldnt category certain specie invars
18101,7,0,0,rose heist rose felt urgent need relate dream expos would loosen grip feel weigh help family
24658,9,1,1,author organ article break inform super head paragraph help reader understand inform better without get bore
5773,3,0,0,panda china like koala australia specialist eat most one thing like panda most eat bamboo koala most eat eucalyptus leave differ python python generalist koala panda specialist
24586,9,0,0,order goe great detail explain space ship made kind stuff
5271,3,1,1,panda similar koala bear australia almost eat thing thrive differ python differ envionenteu live place
23370,9,0,0,author organ article good reason say told import trash sent outer space
5268,3,1,1,panda koala mammal carnivora unlike snake panda eat bamboo koala eat eucalyptus leave snake eat mice bird anim example article said python ate Allix python also reptile mammal
20073,8,2,2,paul proud man coach great athlete wonder never ran freshman year want coach mr leonard read like mr leonard coach track
23191,9,1,0,author order chronalog order start state history fact people first went space move share happen late space last explain could happen still happen ing space
18262,7,0,0,rose talk anna already every feel guilty
9003,4,0,0,invars like someone stay place part adept like correct like other
6061,3,0,0,panda china similar koala australia eat type plant panda eat bamboo koala eat eucalyptus koala panda differ python eat anim like snake rat python caus native specie become extinct
5312,3,2,2,panda similar koala eat leave almost Ecclus differ python python eat Anyah accord text python swallow Allix word panda koala cometh really worry unlike python
6679,3,1,1,panda koala differ python main china australia python spread everywhere
17321,7,0,0,think rose seem lone much life work help family time home school work help supper think feel way anna doesnt want admit thing time miss mom dad even paul
9774,4,1,1,invars great signific article basic article center around certain specie like python invade area like everglade article say kill mani ending specie article primarily controversy issue whether allow reptile pet could easily invade surround environ
18359,7,0,0,one trait describe rose base convert anna aunt Polab would trouble know feel weigh know agre doesnt tell aunt Polab weigh
24153,9,1,1,author super section each section put interest fact reader
18517,7,1,1,response work restaur school goe home help make dinner
5340,3,1,2,panda china similar koala australia need specif food substance survive know author say specialist china panda wich eat almost not bamboo australia koala bear wich eat eucalyptus leave almost Ecclus unlike panda koala python option food could conceive python stalk way potomac obviasli differ lot panda koala
24744,9,0,0,give insight problem give slut
5009,3,1,1,panda china koala australia similar specialist live eat special plant like bamboo eucalyptus leave python differ eat almost Anyah kill anim source food also eaten made pet better Chanc survive
18599,7,2,2,rose describe word care show convert aunt anna talk word say really seem care example say what wrong feel okay
9788,4,0,0,signific word invars rest article sort like invars type reptile us human scare tri stay away article state snake like come leave Alon simple die fright bear see one must leave
18594,7,0,0,rose person tri pleas everyone trait clear shown answer aunt ask rose feel weigh
6477,3,1,1,panda china similar koala australia yet differ python mani way panda koala eat specif thing specialist hand python generalist adapt anywhere china panda australian koala similar yet opposit python
9784,4,1,1,invars specie specie predate reform pipul rise article describe predate give example python tell story python ate crocodile know invars grow control
5077,3,2,2,panda similar koala koala panda alike caus clime tree color live dont make food
6549,3,0,0,panda china similar australia similar anim bear family look expo harm anim differ python python look harm reptile unlike bear keep edge pet like reptile story
18729,7,0,1,rose want hurt anyon feel say feel want hurt sister aunt story say rose answer told truth would hurt aunt probabl aunt would tell mother
17807,7,2,2,one trait describe rose respect tell aunt truth felt rose want hurt aunt
23441,9,2,2,author organ article explain introductor paragraph topic write author goe give brief history space explore explain space debris got first place author explain threat microderi field effect space mission final author explain country current work slut problem micrdebri field space junk
23804,9,2,2,author organ article start introduct cometh grab reader attent identify fly object sky tool bag make reader want read article author goe explain mean space junk get follow happen satellite die author finish article notify reader space junk big deal increase commerce space travel rise nation undertaken space explore
20785,8,0,0,well mr leonard paul teacher everybody would alway make fun wasnt good sport Anyah teacher decide put sport like basketball track would like jump hurdle like wasnt not coach like nice job kid hope good play baskaetbal left english go learn center get help work basketball track everybody school like good job kid im proud kid jealous mad would cometh right coach would tell
18481,7,0,0,rose seem stress every put bigger person
6197,3,1,1,panda china similar koala australia one food eat continue one differ python python could eat Anyah get path hungry enough
5607,3,0,1,panda china similar koala australia specialist differ panda eat almost not bamboo australia koala eat eucalyptus leave almost Ecclus differ python assist teacher python live anywhere florida australia
20540,8,1,0,seem surprise
24241,9,0,1,author organ article chronology order state soviet union launch first artifice satellite paragraph state february two satellite colloid final wrote tool bag escape intern space station ISS
17696,7,1,1,help quit like work must continue help tri complain even though aunt Polab tell rose feel listen dream ask relief help effort appreci still will help need
8882,4,0,0,signific word invars rest article call danger anim anim danger say article even term invars specie unfair
17408,7,2,2,concerned think concern family brother one one support little sister anna say concern mother work late
9009,4,1,1,word invars mean invade place word signific people say reptile generalist anim invade place welcome pose threat
18175,7,0,0,rose good listen make good judgement call
5353,3,1,1,panda china similar koala australia stick one source eat panda eat bamboo koala eat eucalyptus leave differ python macing reptile pet rate doubt decad panda koala wildlife anim turn pet
9357,4,2,1,word invars mean invade area take word signific story say invars specie major threat bio divers word relate story story main certain specie live anywhere caus problem habitat go
17643,7,2,2,one trait describe rose care sister came kitchen rose ask wrong anna rose said rong feel okay
8481,4,1,1,word invars signific article author argue reptile kill anim misunderstood rather invars invars mean danger govern classify python invars author say
17141,7,0,0,conversation aunt Polab rose final realize life could get easier
17479,7,0,0,anna courage mind work hard family even though might hurt example work four hour shift school bring money help pay brother school
24428,9,1,1,spear section reader find understand inform section
6589,3,1,1,panda china koala australia actual quit similar diet respect panda eat almost not bamboo where koala eat eucalyptus leave exclusively show specif food diet differ python python tend eat Anyah swallow
17460,7,0,0,way feel like care essay win cant pick prize anyway feel isnt real point tri win schedule already real busy
17645,7,2,2,tell story rose consider person understand convert anna fake laugh pretend every okay even tri make sure sister okay paragraph wrong feel okay
17657,7,1,1,anna hard work aunt Polab
20001,8,1,2,background inform given story effect paul mr leonard see paul mr leonard could read school good track feel paul go thing paul feel relate mr leonard mr leonard go tri help paul complete could
5173,3,1,1,china panda australia koala bear eat senti one type food rare eat other panda eat bamboo koala eat eucalyptus leave although python adapt eat kind anim
23960,9,2,2,list section order import begin reader attent introduct explain exact caus problem later define next use section crash cours show rare occur never really worry problem situate must prepare final show satellite cold smash smaller bit become even danger higher Chanc colloid great number
4921,3,2,1,panda china eat bamboo koala australia eat Ecclus eucalyptus leave restrict one food python eat mariti food potent harm native specie
17382,7,0,0,grew mom everybody els grew cambodia dream brother heavy weight sink bottom Bodi water give oppugn see situate someone els eye
20199,8,1,1,paul understand background coach reassure take overcome obstacle feel idol Alon realize individu problem overcome
20763,8,1,1,story paul learn background inform mr leonard really surprise inform show paul even though may good cometh example sport school work educ alway come first paul really work hard learn read want let mr leonard
19967,8,2,2,background inform paul find mr leonard good effect find mr leonard good athlete finish college gave paul hope realize mr leonard interest help better mr leonard help paul excel feel like worth cometh paul felt give favor return began teach mr leonard read
9594,4,1,1,word invars refer anim article mean uncheck nature predate major threat biodivers
24738,9,2,2,author orbit junk organ article four section introduct bring idea space junk explain caus global government concern author goe explain space junk transit problem next two paragraph final author want rais away volume space trash fact increase difficult avoid
20181,8,2,2,story gift paul learn interest shock inform mr leonard paul find mr leonard meter champion question happen mr leonard reveal inform paul shock paul realize Alon someone like someone read know paul relead glad help mr leonard read
20052,8,1,0,paul relate inform quit well mot heard mr leonard word kind felt like call class read aloud everyone knew answer paul mr leonard relate one Aneth
5158,3,2,2,panda china similar koala australia need special place live right food eat right climate live python way differ article generalist python ultima generalist arguable human mean python survive anywhere
20816,8,2,2,paul get background inform about mr leonard effect paul know leonard hurdle athlete said read flunk college leonard got mot paul knew felt said c mon mr leonard time start train paul want help mr leonard make feel better
23436,9,1,2,author orgia artic open introduct attent grab sentence include first head introduct keep every organ keep fact right head little bit big deal
8764,4,2,2,invars neat cannot call anim invars paint picture anim come ecosystem destroy anim health make seem like python invade florida sang must elemin really though anim tri survive invars bring misconstrued idea terror passage
5747,3,1,1,panda bear koala bear eat bamboo panda eucalyptus leave koala python differ panda koala eat rat Allix mani anim danger make specie go instinct
23137,9,0,0,author organ article first explain space junk explain got
20840,8,0,0,effect paul made curious know mr leonard tell quit
6804,3,0,0,panda china must live eat bamboo koala australia live eat eucalyptus plant anim specialist remove habitat python generalist specie survive mani local therefor become invars specie
24345,9,2,2,author organ article use differ section article use section space juck crash cours little bit big deal caus every organ
17508,7,0,0,rose kinda like mother figure story clot responsibility take care paragraph line say felt young much responsibility
8277,4,1,1,signific word invars use look bad anim make seem danger uncontrol
21251,8,2,2,background inform paul get mr leonard familiar mr leonard good grade school also hard time read paul already get help grade read mr leonard start train track field mr leonard help grade help paul become athlete mr leonard use paul mr leonard similar childhood
4958,3,1,1,china panda bear eat most bamboo australia koala eat leave show harm hand python eat pet harm human caus threat america anim
17988,7,1,1,rose seem care family lot thing think reason bad dream stress much family thousand word essay write done yet think realize import thing
9433,4,1,1,signific word invars rest article people pet become anim danger affect life article macing commend govern overestim threat pose invars reptile say block u fish wildlife service import commerce attract anim pet ment home
21030,8,2,2,paul learn mr leonard track star wonder anymore mr leonard tell flunk scholarship paul epithet know mr leonard feel paul find want help mr leonard
20733,8,2,2,effect background inform paul feel connect mr leonard went thing abl read good paul know exact felt like abl read
9685,4,1,1,word invars repeat use throughout article express python introduce support python inhabit u state instead invars introduce opinion explain python live u tri invade specie live
22974,9,2,2,author organ artic well put thing import use tone voice organ thought well section orbit junk use exit tone BIOC section space junk give fact happened danger deare space
21282,8,0,0,shock h dose read
17501,7,0,0,rose ask younger sister ok ask early sister said bad dream
21006,8,2,2,think paul really relate mr leonard background inform read back kid neither paul mr leonard took paul hurdle help feel accept know good cometh like mr leonard
6639,3,0,0,panda china similar koala australia specialist china panda eat almost not bamboo australia koala bear eat eucalyptus leave almost Ecclus live place need grown python howel live anywhere potent food source agreeable climate python eat almost Anyah fit stomach panda koala
20884,8,1,0,effect background inform paul mr leonard story paul problem paul paul get help paul never interest sport mr leonard good since mr leonard help paul paul would help
5925,3,0,1,panda china similar koala australia due fact Ecclus one type food two anim differ python food generalist easier python adapt other without much differ
21393,8,0,0,want find every track field find mr leonard track field runner broke record college freshman lost scholarship flunk college one want runner read gave want help paul paul like mr leonard kid start train paul school get shape track field team like back day
17874,7,0,0,anna pour two glass orang juice hand one rose
9042,4,1,1,word invars signific reptile invars creature govern say mani threat invars creature people macing say even term invars specie unfair support spread creature arguable
8227,4,1,1,signific word invars domain passage state invars specie uncheck nature predate major threat biodivers
20396,8,2,2,inform paul learn inspire realize someone els difficult paul feel Alon anymore learn mr leonard give hope make want work hard mr leonard paul want like mr leonard instead want survive college paul relate mr leonard paul say mr leonard word familiar knew well paul understand mr leonard since mr leonard help go help mr leonard
8525,4,1,1,signific word invars article author tri say python bread introduce area adapt area
6263,3,2,2,panda china similar koala australia specialist specie eat certain thing area differ python generalist specie eat lot differ anim
6450,3,2,2,panda china similar koala australia specialist koala panda differ python python one specialist two eat thing
9261,4,0,0,invars mean amount article show amount reptile father unit state
18407,7,0,0,convert talk Flustra weigh stress rosa feel almost go fact father gone left work rosa feel young much response
21445,8,2,2,paul find mr leonard use track star find wonder mr leonard tell past ask mr leonard happen race found flunk college could read paul know like abl read will help mr leonard mr leonard help
20644,8,1,2,background inform make paul relate mr leonard paul felt embarrass mr leonard felt paul ask come front class read paul realise life flashback mr leonard difficult school life
17658,7,0,0,already done every
21382,8,1,1,feel like familiar went stuff want help
8298,4,1,1,invars key word throughout article piece compar differ viewpoint spread python reptile throughout unit state america people enhance chang ecosystem other believe neat effect invars property
9661,4,1,1,signific word invars rest article certain creature much like python uncheck nature predate major threat biodivers also move fast
24197,9,1,1,author put inform section till reader better understand import tri get across
9719,4,0,1,word invars mean like import differ environ article use invars clot say take anim environ alway use bring differ environ hard time adapt lead death later
6291,3,1,1,panda china similar koala australia generalist specie python specialist specie article state live age leave generalist rather specialist people general tend relate better panda rather snake article say mistake generalist specie better place live
8237,4,0,1,think word invars mean immigr foreign specie make eat native kill native specie feed ending specie
20599,8,0,0,background inform get article really help understand story better tell mr leonard ask kid name track couldnt read pass flunk college also help understand smart els would gradual college mr leonard like help paul track cometh love also want help paul get better cometh isnt alway last every would boost paul confide
24534,9,2,2,author organ article tell space junk first know got first place tell crash cours tell space junk crash one Aneth tell tell unsay little bit within tell even smallest thing caus big problem space
9527,4,1,1,invars signific article talk python specie become quiet overpopul start spread macing tay convince introduce invars
5499,3,1,1,china panda eat almost not bamboo australia koala bear eat most eucalyptus leave stabile classify specialist article state python live chang Enver adapt unlike panda koala bear
23376,9,2,2,author first organ tell us history space junk actual got space continue tell us harm affect defend final challenge reader inter ask serious people
23686,9,1,1,author orbit junk organ article subtitle subtitle allow reader sort know next paragraph make easier find certain inform throughout article
24741,9,0,0,author organ article line statist well proved clot use inform article reader educ end article
20443,8,0,1,make paul feel like good mr leonard want tri get good grade rely other get
20458,8,0,0,affect background inform paul paul clue mr leonard ran track really good paul found talk mr leonard ase never told reason mr leonard could read either big affect Paula paul could read either really great track
18128,7,0,0,dreadful cambodian trait sens family realize could survive ocean cross
9406,4,0,0,use word invars need speech example paragraph
17834,7,2,2,rose never lose hope alway matter situate go hope know pay due help get paul college return favor
24069,9,2,1,author start explain space junk got space talk danger space impact space junk collis satellite travel mph crash mile earth go big deal us world
8666,4,1,1,invars mean close anim habitat instant want ending anim specie affect food chain could wipe pipul well
24582,9,2,2,author organ article start fun tone chang tone make serious introduct author add history involve satellite space junk talk satellite collis american satellite russian satellite final talk Collison talk done tri help collect space junk explain either space junk big deal cometh really need much attent
23619,9,1,1,author organized different till every major right place certain order fact certain part story also give clot inform inform need article
23572,9,1,1,original Attical putting section
6525,3,1,1,panda koala similar eat most kind food almost extinct anim differ python neither dead
9290,4,0,0,signific word invars rest article may someone pet like python could seen danger bad repute among people
23476,9,1,1,author start introduce background inform orbit pathway author describe great space invars high tech junk circle globe orbit author state dead satellite crash creat debris damage satellite state nation work slut
21138,8,2,2,paul figure mr leonard really good track athlete could read well paul understand got college paul decide help mr leonard learn read c mon mr leonard said walk back toward school time start train
9013,4,1,1,word invars signific throughout article whole article python rapid invade tropic climate u one reason horncan andrelilyn state paragraph really pick invars Capet large python
8111,4,1,1,invars great word use article article talk fact bring new anim creat make mani Babi overpopul
20741,8,2,2,mr leonard past motive paul succ best read hurrdil well mot mr leonard word familiar knew well feel embarrass call upon read aloud know answer everyone els knew man given time help excel something sudden realize could
17551,7,0,0,read passage rose convert aunt Polab believe rose self contain seem keep thought feel hurt thought feel Aneth person
23470,9,2,2,author organ article first tell us space junk satellite atmosphere orbit control crash cours dead satellite coach little bit big deal little topic people concern little bit space debris present serious problem
9327,4,0,0,invars specie like snake article say even term invars specie unfair introduce invars pass judgment
8403,4,2,2,article invars mean cometh new differ take python example invars specie article said python everglade nation park ending already ending specie live example key largo wood rat
5491,3,0,1,panda koala similar eat plant Ecclus panda koala differ python python generalist live anywhere panda koala specialist leave Ecclus
8875,4,1,1,word invars mean speak term anim anim native area brought word article help explain anim human could hurt move around
21290,8,2,0,paul learn must keep work hard go learn center help good runner go get anywhere paul could see SADD mr leonard face would talk run flunk college work hard keep
20912,8,2,2,reader normal life extra active mr leonard Chane teach hurdle reader find mr leonard left college actual connect mr leonard want train read
9572,4,0,0,signific word invars rest article differ kind anim generalist specialist also invars specie introduce anim live certain environ abl survive differ invars anim eat differ kind food
18275,7,1,0,rose trait would strong emotional know even stress sleep help sister need
6422,3,1,1,similar panda china koala australia harmless anim eat one typesof food bamboo pandaand eucalyptus leave koala differ python python active thing koala panda
18532,7,0,0,rose tend feel uncomfort express inner struggle talk anna anna tell sound like mama illust rose cover feel say feel expect
21353,8,1,2,background inform great effect paul paul realize mr leonard want know mr leonard told college struggle bail read well paul felt like could help end mr leonard help motive paul tri hurdle like paul help motive mr leonard learn read first time effect paul help gain new friend trainer
17666,7,2,2,rose response tell anna duty help paul finish college show
24503,9,1,1,author get attent begin make shock statement author give specif date time space junk went space define space junk author talk satellite run happen author emphase even though piece small big deal go fast speed
5873,3,1,2,china panda australia koala similar specialist mean live certain area eat thing eat almost not bamboo eat eucalyptus leave almost Ecclus howel python generalist survive live anywhere
6480,3,1,1,china panda similar australia koala eat main bamboo panda basic eat one main food source panda koala differ python abound often best around human also panda koala specialist python generalist
20696,8,0,2,paul feel bad mr leonard problem end story paul say mr leonard indirect go help learn read
5942,3,1,1,one thing similar panda koala eat plant example bamboo eucalyptus unlike python eat every around example anim paragraph said target radio transmit track way belli python
20219,8,2,2,story paul learn mr leonard talent hurdle even broke record college freshman think inform paul learn little confuse happened make mr leonard position today mr leonard explain wasnt strongest student cant read well tie whole story together think paul realize mr leonard want train end story kinda let us believe paul go help mr leonard read
23638,9,0,0,author Leclair opinion reader believe think
